,Q1,Q2,Q3,Q4,2018
3683,19.0,9.0,11.0,10.0,
3684,39.0,18.0,18.0,22.0,
3685,7.0,6.0,4.0,4.0,
3686,7.0,3.0,2.0,8.0,
3687,4.0,1.0,2.0,2.0,
3688,9.0,7.0,3.0,3.0,
3689,1.0,0.0,,0.0,
3690,4.0,0.0,0.0,0.0,
3691,13.0,8.0,8.0,7.0,
3692,26.0,17.0,15.0,17.0,
3693,8.0,4.0,6.0,6.0,
3694,24.0,14.0,12.0,16.0,
3695,2.0,1.0,1.0,1.0,
3696,4.0,2.0,2.0,1.0,
3697,1.0,1.0,1.0,1.0,
3698,6.0,2.0,2.0,2.0,
3699,0.0,0.0,1.0,0.0,
3700,4.0,1.0,2.0,1.0,
3711,3.0,0.0,1.0,2.0,
3712,7.0,2.0,4.0,4.0,
3713,4.0,3.0,4.0,3.0,
3714,28.0,12.0,12.0,18.0,
3719,2.0,1.0,1.0,1.0,
3720,6.0,3.0,3.0,4.0,
3741,2.0,1.0,1.0,1.0,
3742,6.0,1.0,2.0,2.0,
3751,58.0,30.0,27.0,32.0,
3752,82.0,51.0,39.0,55.0,
3759,1.0,1.0,1.0,1.0,
3760,2.0,1.0,2.0,2.0,
3799,5.0,2.0,3.0,3.0,
3800,8.0,3.0,3.0,3.0,
3831,0.0,0.0,,0.0,
3832,4.0,0.0,0.0,0.0,
3845,2.0,1.0,0.0,3.0,
3846,4.0,1.0,0.0,6.0,
3853,0.0,0.0,0.0,0.0,
3854,1.0,1.0,0.0,1.0,
3857,1.0,1.0,0.0,1.0,
3858,5.0,8.0,1.0,1.0,
3861,2.0,1.0,0.0,0.0,
3862,8.0,3.0,3.0,4.0,
3863,4.0,6.0,6.0,4.0,
3864,7.0,4.0,4.0,5.0,
3887,9.0,10.0,6.0,10.0,
3888,32.0,13.0,15.0,27.0,
3901,20.0,10.0,13.0,12.0,
3902,30.0,14.0,16.0,22.0,
3903,2.0,1.0,1.0,1.0,
3904,5.0,2.0,2.0,3.0,
3905,100.0,60.0,72.0,63.0,
3906,193.0,100.0,122.0,131.0,
3907,16.0,9.0,11.0,10.0,
3908,30.0,17.0,17.0,19.0,
3909,4.0,2.0,1.0,1.0,
3910,7.0,2.0,3.0,3.0,
3911,9.0,6.0,6.0,5.0,
3912,16.0,8.0,10.0,9.0,
3913,23.0,16.0,24.0,17.0,
3914,58.0,27.0,36.0,39.0,
3915,13.0,6.0,6.0,5.0,
3916,34.0,16.0,16.0,17.0,
3917,2.0,1.0,0.0,1.0,
3918,2.0,1.0,1.0,1.0,
3919,1.0,0.0,0.0,0.0,
3920,2.0,1.0,2.0,1.0,
3921,16.0,11.0,9.0,8.0,
3922,36.0,19.0,16.0,26.0,
3923,80.0,48.0,49.0,47.0,
3924,162.0,83.0,83.0,102.0,
3925,6.0,3.0,3.0,3.0,
3926,16.0,9.0,8.0,11.0,
3927,25.0,14.0,16.0,17.0,
3928,68.0,36.0,37.0,41.0,
3929,4.0,3.0,3.0,4.0,
3930,11.0,6.0,7.0,11.0,
3931,1.0,1.0,1.0,0.0,
3932,2.0,1.0,2.0,2.0,
3933,7.0,3.0,4.0,7.0,
3934,18.0,11.0,12.0,14.0,
3935,4.0,1.0,1.0,1.0,
3936,4.0,2.0,2.0,3.0,
3937,33.0,22.0,26.0,29.0,
3938,66.0,33.0,43.0,59.0,
3939,5.0,0.0,0.0,1.0,
3940,5.0,2.0,2.0,2.0,
3941,2.0,1.0,1.0,5.0,
3942,3.0,1.0,1.0,1.0,
3943,26.0,14.0,15.0,17.0,
3944,74.0,32.0,33.0,47.0,
3945,7.0,2.0,4.0,4.0,
3946,12.0,6.0,7.0,8.0,
3947,10.0,6.0,4.0,2.0,
3948,17.0,10.0,12.0,6.0,
3949,3.0,1.0,1.0,1.0,
3950,4.0,3.0,3.0,4.0,
3951,2.0,1.0,0.0,1.0,
3952,1.0,1.0,1.0,1.0,
3953,1.0,0.0,0.0,0.0,
3954,3.0,0.0,2.0,1.0,
3955,1.0,0.0,2.0,2.0,
3956,1.0,0.0,2.0,2.0,
3957,1.0,1.0,1.0,1.0,
3958,3.0,1.0,1.0,2.0,
3959,15.0,10.0,11.0,10.0,
3960,36.0,17.0,17.0,19.0,
3961,2.0,0.0,0.0,0.0,
3962,2.0,0.0,0.0,0.0,
3963,3.0,1.0,0.0,0.0,
3964,3.0,1.0,0.0,0.0,
3965,32.0,26.0,20.0,29.0,
3966,75.0,37.0,35.0,40.0,
3967,9.0,5.0,4.0,4.0,
3968,22.0,10.0,9.0,16.0,
3969,5.0,2.0,3.0,2.0,
3970,24.0,9.0,9.0,11.0,
3971,5.0,2.0,2.0,2.0,
3972,6.0,3.0,3.0,5.0,
3973,6.0,4.0,3.0,3.0,
3974,25.0,11.0,11.0,14.0,
3975,8.0,6.0,6.0,5.0,
3976,28.0,16.0,18.0,20.0,
3977,15.0,10.0,10.0,10.0,
3978,35.0,17.0,17.0,20.0,
3979,155.0,99.0,101.0,107.0,
3980,259.0,130.0,130.0,154.0,
3981,2.0,2.0,1.0,1.0,
3982,6.0,4.0,2.0,3.0,
3983,48.0,29.0,23.0,23.0,
3984,100.0,47.0,40.0,46.0,
3985,9.0,6.0,5.0,4.0,
3986,22.0,11.0,8.0,10.0,
3987,60.0,36.0,36.0,37.0,
3988,129.0,63.0,68.0,74.0,
3989,19.0,10.0,10.0,8.0,
3990,60.0,27.0,27.0,29.0,
3991,7.0,4.0,4.0,4.0,
