,StopID,Location,Address,City,Zipcode,Juris_y,Day_Category,Q2016_2,Q2016_3,Q2016_4,Q2017_1,Q2017_2,Q2017_3,Q2017_4,Q2018_12,Q2018_2,Q2018_3,Q42018,Q2019_1,Q2019_2
134,3363,GILBERT RD & HAMPTON AVE,1365 S GILBERT RD,Mesa,85204,Mesa,Weekend,1,1,1,1,1,1,1,1,1,1,1,1,1
135,3363,GILBERT RD & HAMPTON AVE,1365 S GILBERT RD,Mesa,85204,Mesa,Weekday,7,7,8,6,4,9,8,11,4,5,7,5,6
136,2898,MAIN ST & UNIVERSITY DR,225 N GILBERT RD,Mesa,85203,Mesa,Weekend,1,1,1,1,0,0,1,1,0,0,0,0,
137,2898,MAIN ST & UNIVERSITY DR,225 N GILBERT RD,Mesa,85203,Mesa,Weekday,5,5,5,3,2,4,5,7,3,2,4,2,2
138,4608,GILBERT RD & MCKELLIPS RD,1950 N GILBERT RD,Mesa,85203,Mesa,Weekend,3,3,3,2,2,3,3,6,3,2,3,3,4
139,4608,GILBERT RD & MCKELLIPS RD,1950 N GILBERT RD,Mesa,85203,Mesa,Weekday,10,10,11,16,7,12,27,33,16,19,16,14,21
140,3474,POWER RD & VIA ROSSMOOR BLVD,801 S POWER RD,Mesa,85206,Mesa,Weekend,9,8,8,7,4,8,10,18,1,5,3,2,2
141,3474,POWER RD & VIA ROSSMOOR BLVD,801 S POWER RD,Mesa,85206,Mesa,Weekday,9,9,10,12,4,14,14,20,3,5,4,5,4
142,5216,POWER RD & BROADWAY RD,400 S POWER RD,Mesa,85206,Mesa,Weekend,8,7,7,4,4,8,10,11,3,7,4,3,3
143,5216,POWER RD & BROADWAY RD,400 S POWER RD,Mesa,85206,Mesa,Weekday,7,7,7,8,4,8,10,16,6,9,7,5,4
144,3098,STAPLEY DR & FAIRFIELD ST,1010 N STAPLEY DR,Mesa,85203,Mesa,Weekend,0,0,0,1,0,0,0,0,0,0,0,0,0
145,3098,STAPLEY DR & FAIRFIELD ST,1010 N STAPLEY DR,Mesa,85203,Mesa,Weekday,0,0,0,1,0,1,1,1,0,0,0,1,0
146,4602,GILBERT RD & FAIRFIELD ST,962 N GILBERT RD,Mesa,85203,Mesa,Weekend,2,1,1,1,0,0,1,0,0,0,0,0,0
147,4602,GILBERT RD & FAIRFIELD ST,962 N GILBERT RD,Mesa,85203,Mesa,Weekday,4,4,4,4,2,5,6,6,1,1,1,1,1
148,2895,GILBERT RD & UNIVERSITY DR,1900 E UNIVERSITY DR,Mesa,85203,Mesa,Weekend,2,2,2,2,1,2,1,3,2,1,3,2,2
149,2895,GILBERT RD & UNIVERSITY DR,1900 E UNIVERSITY DR,Mesa,85203,Mesa,Weekday,12,12,12,14,9,15,14,30,11,11,18,14,12
150,4722,POWER RD & INGLEWOOD ST,1739 N SILVERADO,Mesa,85205,Mesa,Weekend,0,0,0,0,0,0,0,1,1,1,0,1,1
151,4722,POWER RD & INGLEWOOD ST,1739 N SILVERADO,Mesa,85205,Mesa,Weekday,1,1,1,1,1,3,3,4,2,1,1,2,2
152,3032,POWER RD & UNIVERSITY DR,6758 E UNIVERSITY DR,Mesa,85205,Mesa,Weekend,3,3,3,4,2,5,4,8,4,5,4,6,5
153,3032,POWER RD & UNIVERSITY DR,6758 E UNIVERSITY DR,Mesa,85205,Mesa,Weekday,10,10,10,13,8,11,11,25,12,12,17,18,17
154,5220,POWER RD & SOUTHERN AVE,1210 S POWER RD,Mesa,85206,Mesa,Weekend,8,8,8,2,1,3,6,6,2,4,2,2,2
155,5220,POWER RD & SOUTHERN AVE,1210 S POWER RD,Mesa,85206,Mesa,Weekday,7,7,7,6,3,7,7,11,6,7,6,5,7
156,3100,STAPLEY DR & 8TH ST,807 N STAPLEY DR,Mesa,85203,Mesa,Weekend,1,1,1,1,1,1,1,0,0,0,0,0,0
157,3100,STAPLEY DR & 8TH ST,807 N STAPLEY DR,Mesa,85203,Mesa,Weekday,2,2,2,6,3,2,2,3,0,0,1,1,0
158,9145,N GILBERT RD & E LOCKWOOD ST,2224 N ASHBROOK CIR,Mesa,85213,Mesa,Weekend,,,,,,,,,,,,,
