FFEBRUARY 2020 MONTHLY RIDERSHIP REPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SERVICE,ROUTE,CITY,Avg Full Fare,Avg Exp Fare,Avg Reduced Fare,Avg Full Fare Pass,Avg Reduced Pass,Avg Monthly Pass,Avg Free,Avg Bikes,Avg W/C, Avg Daily Boardings, Total Boardings ,Daily Revenue Miles,Total Rev. Miles,Boardings Per Rev Mile,2/19 - Avg Daily,% Difference,,,,,,,,,,,,,,,,,,,,,,
SU,67,Gln,22,0,12,79,130,14,7,6,2,264,"1,056",240.9,963.6,1.1, 225 ,17.3%,,,,,,,,,,,,,,,,,,,,,,
SU,67,Peo,6,0,4,12,28,2,0,2,0,52,207,45.3,181.1,1.1, *November 2020 ,*November 2020,,,,,,,,,,,,,,,,,,,,,,
SU,67,Phx,33,0,24,103,182,17,15,12,2,374,"1,491",463.8,"1,855.1",0.8, 396 ,-5.6%,,,,,,,,,,,,,,,,,,,,,,
SU,70,Gln,37,0,38,140,239,22,16,20,5,492,"1,969",365.7,"1,463.0",1.3, 539 ,-8.7%,,,,,,,,,,,,,,,,,,,,,,
SU,70,Phx,92,0,67,535,"1,027",133,47,54,21,"1,901","7,603","1,397.4","5,589.6",1.4," 2,151 ",-11.6%,,,,,,,,,,,,,,,,,,,,,,
SU,72,Chn,9,0,6,37,64,9,8,8,1,133,531,209.7,838.7,0.6, 107 ,24.3%,,,,,,,,,,,,,,,,,,,,,,
SU,72,PaVa,1,0,0,6,11,1,2,1,0,21,87,179.3,717.3,0.1, *November 2020 ,*November 2020,,,,,,,,,,,,,,,,,,,,,,
SU,72,Phx,12,0,3,51,64,7,4,4,1,141,559,86.4,345.6,1.6, *November 2020 ,*November 2020,,,,,,,,,,,,,,,,,,,,,,
SU,72,Sct,67,0,26,218,273,37,47,17,3,668,"2,668",771.5,"3,086.0",0.9, 670 ,-0.3%,,,,,,,,,,,,,,,,,,,,,,
SU,72,Tem,44,0,30,262,517,56,64,31,7,973,"3,890",738.8,"2,955.2",1.3, 805 ,20.9%,,,,,,,,,,,,,,,,,,,,,,
SU,75,Phx,20,0,17,85,144,11,10,6,4,287,"1,143",544.1,"2,176.6",0.5, 264 ,8.7%,,,,,,,,,,,,,,,,,,,,,,
SU,77,Mes,2,0,1,7,18,1,2,1,0,31,124,86.1,344.4,0.4, *November 2020 ,*November 2020,,,,,,,,,,,,,,,,,,,,,,
SU,77,Phx,49,0,70,190,484,67,94,29,9,954,"3,813","1,045.3","4,181.2",0.9, 744 ,28.2%,,,,,,,,,,,,,,,,,,,,,,
SU,77,Tem,20,0,19,89,207,26,15,8,2,376,"1,502",343.7,"1,374.8",1.1, 418 ,-10.0%,,,,,,,,,,,,,,,,,,,,,,
SU,80,Gln,8,0,8,39,73,9,5,4,1,142,562,65.4,261.6,2.2, 136 ,4.4%,,,,,,,,,,,,,,,,,,,,,,
SU,80,PaVa,0,0,0,7,8,1,0,1,0,16,61,950.3,"3,801.1",0.0, 17 ,-5.9%,,,,,,,,,,,,,,,,,,,,,,
SU,80,Phx,42,0,29,217,379,39,21,23,6,727,"2,903",27.3,109.2,26.6, 715 ,1.7%,,,,,,,,,,,,,,,,,,,,,,
SU,80,Sct,7,0,4,43,57,8,2,6,1,121,484,203.6,814.2,0.6, 112 ,8.0%,,,,,,,,,,,,,,,,,,,,,,
SU,81,SRPIC,0,0,0,1,3,0,0,0,0,4,15,58.9,235.8,0.1, *November 2020 ,*November 2020,,,,,,,,,,,,,,,,,,,,,,
SU,81,Sct,16,0,10,87,138,11,6,17,3,268,"1,067",665.2,"2,660.8",0.4, 235 ,14.0%,,,,,,,,,,,,,,,,,,,,,,
SU,81,Tem,23,0,24,197,339,26,9,23,5,618,"2,472",654.1,"2,616.5",0.9, 571 ,8.2%,,,,,,,,,,,,,,,,,,,,,,
SU,83,Gln,11,0,9,43,75,8,4,7,1,150,596,133.5,534.0,1.1, 113 ,32.7%,,,,,,,,,,,,,,,,,,,,,,
SU,83,Peo,8,0,6,23,34,4,2,4,1,77,307,207.3,829.2,0.4, 113 ,-31.9%,,,,,,,,,,,,,,,,,,,,,,
