"NoName","X","Y","StopID","NextRide","Location","Juris","WaterFountain","ADA","Type_","ATIS_ID","Direction","Long","Lat","Routes","Zip","City","Address","State","AUTO_UNIQUE_ID_2020-07-27_pwewiora08_filter_bus_1000","UpdatedReverseGeocoding","TimeTaken","TransactionId","Source","ErrorMessage","Version","ComputedAPN","ComputedStreetAddress","ComputedCity","ComputedState","ComputedZip","ComputedZipPlus4"
"1084","-111.909308734707","33.39253912760461","5170.0","15204.0","MCCLINTOCK DR & SOUTHERN AVE","Tempe","No","Yes","Standard","5184.0","Southbound","-111.909308734707","33.39253912760461","81","","","","",349,"1",1500.0005,"","AggieReverseGeocoder","",4.01,"13336003B","1801 E SOUTHERN AVE","Tempe","AZ","85282","5814"
"1085","-111.90931936875401","33.3905251400688","5166.0","15205.0","MCCLINTOCK DR & LAGUNA DR","Tempe","No","Yes","Standard","5180.0","Southbound","-111.90931936875401","33.3905251400688","81","","","","",350,"1",1437.4997,"","AggieReverseGeocoder","",4.01,"13337416","3505 S ALDER DR","Tempe","AZ","85282","5701"
"1086","-111.90934364371701","33.3873970041055","5176.0","15206.0","MCCLINTOCK DR & HERMOSA DR","Tempe","No","Yes","Standard","5190.0","Southbound","-111.90934364371701","33.3873970041055","81","","","","",351,"1",1359.3694,"","AggieReverseGeocoder","",4.01,"13337220","3905 S ALDER DR","Tempe","AZ","85282","5702"
"1087","-111.909373078617","33.383583055763395","5161.0","15207.0","MCCLINTOCK DR & CARSON DR","Tempe","No","Yes","Standard","5175.0","Southbound","-111.909373078617","33.383583055763395","81","","","","",352,"1",875.0168,"","AggieReverseGeocoder","",4.01,"13339066","4505 S ALDER DR","Tempe","AZ","85282","7319"
"1088","-111.909387834896","33.382152933853305","5175.0","15208.0","MCCLINTOCK DR & MINTON DR","Tempe","No","Yes","Standard","5189.0","Southbound","-111.909387834896","33.382152933853305","81","","","","",353,"1",1109.3778,"","AggieReverseGeocoder","",4.01,"13339191","1738 E MINTON DR","Tempe","AZ","85282","7314"
"1089","-111.909423322899","33.3798108312063","5164.0","15209.0","MCCLINTOCK DR & DUNBAR DR","Tempe","No","Yes","Standard","5178.0","Southbound","-111.909423322899","33.3798108312063","81","","","","",354,"1",515.6265,"","AggieReverseGeocoder","",4.01,"13339003D","5100 S MCCLINTOCK DR","Tempe","AZ","85282","7374"
"1090","-111.909422384492","33.3780881803077","5157.0","15210.0","MCCLINTOCK DR & BASELINE RD","Tempe","No","Yes","Standard","5171.0","Southbound","-111.909422384492","33.3780881803077","81 | 521","","","","",355,"1",374.9788,"","AggieReverseGeocoder","",4.01,"30101006K","1717 E BASELINE RD","Mesa","AZ","85283","1408"
"1091","-111.910263545842","33.3758421662121","5154.0","15211.0","MCCLINTOCK DR & OXFORD DR","Tempe","No","Yes","Standard","5168.0","Southbound","-111.910263545842","33.3758421662121","81 | 521","","","","",356,"1",874.995,"","AggieReverseGeocoder","",4.01,"30101006K","1717 E BASELINE RD","Mesa","AZ","85283","1408"
"1092","-111.911425943345","33.371996271652606","5171.0","15212.0","MCCLINTOCK DR & SOUTHSHORE DR","Tempe","No","Yes","Standard","5185.0","Southbound","-111.911425943345","33.371996271652606","81","","","","",357,"1",1031.2551,"","AggieReverseGeocoder","",4.01,"30194048","5528 S HEATHER DR","Mesa","AZ","85283","2202"
"1093","-111.91140059781901","33.3691951663497","5173.0","15213.0","MCCLINTOCK DR & WATSON DR","Tempe","No","Yes","Standard","5187.0","Southbound","-111.91140059781901","33.3691951663497","81","","","","",358,"1",984.3999,"","AggieReverseGeocoder","",4.01,"30191372","5905 S ALDER DR","Mesa","AZ","85283","3105"
"1094","-111.911368954468","33.3653653957694","5167.0","15214.0","MCCLINTOCK DR & LIBRA DR","Tempe","No","Yes","Standard","5181.0","Southbound","-111.911368954468","33.3653653957694","81","","","","",359,"1",1015.6343,"","AggieReverseGeocoder","",4.01,"30196112H","6200 S MCCLINTOCK DR","Mesa","AZ","85283","3268"
