NoName,X,Y,OBJECTID,StopID,NextRide,Location,Juris,DateUpdated,Long,Lat,Routes,Zip,State,Address,AUTO_UNIQUE_ID_2020-07-27_cceni03_filter_bus3001,UpdatedReverseGeocoding,TimeTaken,TransactionId,Source,ErrorMessage,Version,ComputedAPN,ComputedStreetAddress,ComputedCity,ComputedState,ComputedZip,ComputedZipPlus4
5260,-112.056425,33.553529,5369,1916,10907,12TH ST & NORTHERN AVE,Phoenix,1.54E+12,-112.056425,33.553529,12,,,,326,1,1500.0022,,AggieReverseGeocoder,,4.01,16010003A,8015 N 12TH ST,Phoenix,AZ,85020,3801
5261,-112.056306,33.473197,5370,1917,10879,12TH ST & OAK ST,Phoenix,1.54E+12,-112.056306,33.473197,12,,,,327,1,640.6141,,AggieReverseGeocoder,,4.01,11722001,2305 N 12TH ST,Phoenix,AZ,85006,1705
5262,-112.056332,33.46896448,5371,1920,10878,12TH ST & PALM LN,Phoenix,1.54E+12,-112.056332,33.46896448,12,,,,328,1,640.629,,AggieReverseGeocoder,,4.01,11724079,1815 N 12TH ST,Phoenix,AZ,85006,2241
5263,-112.05616,33.527519,5372,1921,10899,12TH ST & ROSE LN,Phoenix,1.54E+12,-112.05616,33.527519,12,,,,329,1,937.4943,,AggieReverseGeocoder,,4.01,16112073,6201 N 12TH ST,Phoenix,AZ,85014,1720
5264,-112.056318,33.47691501,5373,1922,10880,12TH ST & VIRGINIA AVE,Phoenix,1.54E+12,-112.056318,33.47691501,12,,,,330,1,640.6299,,AggieReverseGeocoder,,4.01,11721116A,1210 E VIRGINIA AVE,Phoenix,AZ,85006,1151
5265,-112.056324,33.463965,5374,1923,10876,12TH ST & WILLETTA ST,Phoenix,1.54E+12,-112.056324,33.463965,12,,,,331,1,609.3743,,AggieReverseGeocoder,,4.01,11629084A,1111 E MCDOWELL RD,Phoenix,AZ,85006,2612
5266,-112.0562955,33.47957836,5375,1924,10881,12TH ST & THOMAS RD,Phoenix,1.54E+12,-112.0562955,33.47957836,12,,,,332,1,640.5932,,AggieReverseGeocoder,,4.01,11728001,1106 E VIRGINIA AVE,Phoenix,AZ,85006,1150
5267,-112.056398,33.546776,5376,1925,10905,12TH ST & WAGON WHEEL DR,Phoenix,1.54E+12,-112.056398,33.546776,12,,,,333,1,1484.3636,,AggieReverseGeocoder,,4.01,16022089B,7511 N 12TH ST,Phoenix,AZ,85020,4519
5268,-112.056345,33.54449,5377,1926,10904,12TH ST & STATE AVE,Phoenix,1.54E+12,-112.056345,33.54449,12,,,,334,1,1484.3768,,AggieReverseGeocoder,,4.01,16023069,1201 E GARDENIA DR,Phoenix,AZ,85020,5112
5269,-112.091149,33.509998,5378,1929,11072,15TH AVE & CAMELBACK RD,Phoenix,1.54E+12,-112.091149,33.509998,15,,,,335,1,937.4461,,AggieReverseGeocoder,,4.01,15641002,5009 N 15TH AVE,Paradise Valley,AZ,85015,3302
