Column1,X,Y,StopID,Location,Juris,Type_,Long,Lat,State,Zipcode,City,StreetAddress,AUTO_UNIQUE_ID_2020-07-28_czc5230_bus_4,UpdatedReverseGeocoding,TimeTaken,TransactionId,Source,ErrorMessage,Version,ComputedAPN,ComputedStreetAddress,ComputedCity,ComputedState,ComputedZip,ComputedZipPlus4
5467,-112.1680409,33.37817675,20041,51ST AVE & BASELINE RD,Phoenix,,-112.1680409,33.37817675,AZ, , , ,968,1,296.8738,,AggieReverseGeocoder,,4.01,10489011,5050 W BASELINE RD,Gila Crossing,AZ,85339,7324
5468,-112.1691894,33.36999521,20052,NB S 51ST AVE FS W SOUTH MOUNTAIN AVE,Phoenix,,-112.1691894,33.36999521,AZ, , , ,969,1,281.2731,,AggieReverseGeocoder,,4.01,30084654,5028 W ARDMORE RD,Gila Crossing,AZ,85339,2119
5469,-112.0470117,33.51637677,537,Missouri Av & 16th St,Phoenix,Standard,-112.0470117,33.51637677,AZ, , , ,970,1,937.4822,,AggieReverseGeocoder,,4.01,16455182E,5343 N 16TH ST,Avondale,AZ,85016,3231
5470,-112.0435801,33.51663084,5791,Missouri Av & 18th St,Phoenix,Standard,-112.0435801,33.51663084,AZ, , , ,971,1,281.2531,,AggieReverseGeocoder,,4.01,16451005A,1744 E MISSOURI AVE,Avondale,AZ,85016,3020
5471,-112.042889,33.51638701,538,Missouri Av & 18th St,Phoenix,Standard,-112.042889,33.51638701,AZ, , , ,972,1,281.2485,,AggieReverseGeocoder,,4.01,16454016B,1803 E MISSOURI AVE,Avondale,AZ,85016,3021
5472,-112.0384246,33.51642726,539,Missouri Av & 20th St,Phoenix,Standard,-112.0384246,33.51642726,AZ, , , ,973,1,281.2474,,AggieReverseGeocoder,,4.01,16458021A,2025 E MISSOURI AVE,Avondale,AZ,85016,3118
5473,-112.0396282,33.51662886,5792,Missouri Av & 20th St,Phoenix,Standard,-112.0396282,33.51662886,AZ, , , ,974,1,921.8761,,AggieReverseGeocoder,,4.01,16452130,1942 E MISSOURI AVE,Avondale,AZ,85016,3024
5474,-112.0342592,33.51647304,540,Missouri Av & 22nd St,Phoenix,Standard,-112.0342592,33.51647304,AZ, , , ,975,1,656.2516,,AggieReverseGeocoder,,4.01,16459010,5327 N 22ND ST,Avondale,AZ,85016,9037
5475,-112.0388033,33.51332187,20008,20th St & Colter St,Phoenix,Standard,-112.0388033,33.51332187,AZ, , , ,976,1,953.1214,,AggieReverseGeocoder,,4.01,16458013,2020 E COLTER ST,Avondale,AZ,85016,3404
5476,-112.0387891,33.50959267,20007,20th St & Camelback Rd,Phoenix,Standard,-112.0387891,33.50959267,AZ, , , ,977,1,921.877,,AggieReverseGeocoder,,4.01,16467001B,2002 E CAMELBACK RD,Avondale,AZ,85016,4711
