,Unnamed: 0,X,Y,StopID,Location,Juris,Type_,Long,Lat,Zipcode,City,Street Address
494,1254,-111.96068420636601,33.4126693622546,3497.0,PRIEST DR & 14TH ST,Tempe,Standard,-111.96068420636601,33.4126693622546, , , 
495,1255,-111.960655687672,33.4150383803542,7657.0,PRIEST DR & 13TH ST,Tempe,Standard,-111.960655687672,33.4150383803542, , , 
496,1256,-111.960691353288,33.4170252910632,3511.0,PRIEST DR & 11TH ST,Tempe,Standard,-111.960691353288,33.4170252910632, , , 
497,1257,-111.96071504812599,33.4193436798068,7658.0,PRIEST DR & ELNA RAE ST,Tempe,Standard,-111.96071504812599,33.4193436798068, , , 
498,1258,-111.960732371831,33.4223747349538,3510.0,PRIEST DR & UNIVERSITY DR,Tempe,Standard,-111.960732371831,33.4223747349538, , , 
499,1259,-111.96077505978,33.4258899664947,3499.0,PRIEST DR & 5TH ST,Tempe,Standard,-111.96077505978,33.4258899664947, , , 
500,1260,-111.96076121924601,33.4302592891844,3508.0,PRIEST DR & RIO SALADO PKWY,Tempe,Standard,-111.96076121924601,33.4302592891844, , , 
501,1261,-111.926101385411,33.4292249105115,3550.0,RURAL RD & RIO SALADO PKWY,Tempe,Standard,-111.926101385411,33.4292249105115, , , 
502,1262,-111.92606067818001,33.4344240363162,3041.0,RURAL RD & PLAYA DEL NORTE,Tempe,Standard,-111.92606067818001,33.4344240363162, , , 
503,1264,-111.92615329993099,33.440736603305204,3056.0,SCOTTSDALE RD & CURRY RD,Tempe,Standard,-111.92615329993099,33.440736603305204, , , 
504,1265,-111.92625960697501,33.443752263244804,7715.0,SCOTTSDALE RD & WEBER DR,Tempe,Standard,-111.92625960697501,33.443752263244804, , , 
505,1266,-111.92626910836901,33.4471275767305,3063.0,SCOTTSDALE RD & HANCOCK AVE,Tempe,Standard,-111.92626910836901,33.4471275767305, , , 
506,1267,-111.926272398782,33.452221885699004,3075.0,SCOTTSDALE RD & MCKELLIPS RD,Tempe,Standard,-111.926272398782,33.452221885699004, , , 
507,1268,-111.92621490406201,33.4543661342292,3090.0,SCOTTSDALE RD & FILLMORE ST,Tempe,Standard,-111.92621490406201,33.4543661342292, , , 
508,1269,-111.926586690287,33.4543927376888,4755.0,SCOTTSDALE RD & FILLMORE ST,Tempe,Standard,-111.926586690287,33.4543927376888, , , 
509,1270,-111.926638696532,33.4509060874416,4770.0,SCOTTSDALE RD & MCKELLIPS RD,Tempe,Standard,-111.926638696532,33.4509060874416, , , 
510,1271,-111.926628522215,33.4486609614486,4749.0,SCOTTSDALE RD & CAVALIER DR,Tempe,Standard,-111.926628522215,33.4486609614486, , , 
511,1272,-111.92661857654,33.4463505351385,7712.0,SCOTTSDALE RD & HANCOCK DR,Tempe,Standard,-111.92661857654,33.4463505351385, , , 
512,1273,-111.926568828636,33.4432275759441,7713.0,SCOTTSDALE RD & WEBER DR,Tempe,Standard,-111.926568828636,33.4432275759441, , , 
513,1274,-111.92650400698,33.4399664952403,4790.0,SCOTTSDALE RD & CURRY RD,Tempe,Standard,-111.92650400698,33.4399664952403, , , 
514,1275,-111.92645663876301,33.4380826988874,4733.0,RURAL RD & GILBERT DR,Tempe,Standard,-111.92645663876301,33.4380826988874, , , 
515,1276,-111.926452448652,33.4342602827009,4731.0,RURAL RD & PLAYA DEL NORTE,Tempe,Standard,-111.926452448652,33.4342602827009, , , 
516,1277,-111.92644849115601,33.428337525696605,5282.0,RURAL RD & RIO SALADO PKWY,Tempe,Standard,-111.92644849115601,33.428337525696605, , , 
